,State,Year,Quater,Disrict,Reg_users
34114,ribhoi district,2020,4,ribhoi district,17198
34115,west jaintia hills district,2020,4,west jaintia hills district,7968
34116,west khasi hills district,2020,4,west khasi hills district,4484
34117,north garo hills district,2020,4,north garo hills district,5914
34118,south west khasi hills district,2020,4,south west khasi hills district,1364
34119,west garo hills district,2020,4,west garo hills district,37988
34120,south garo hills district,2020,4,south garo hills district,5006
34121,east jaintia hills district,2020,4,east jaintia hills district,12337
34122,south west garo hills district,2020,4,south west garo hills district,5772
34123,east khasi hills district,2020,4,east khasi hills district,72639
34124,east garo hills district,2020,4,east garo hills district,5777
34125,ribhoi district,2020,4,ribhoi district,17198
34126,west jaintia hills district,2020,4,west jaintia hills district,7968
34127,west khasi hills district,2020,4,west khasi hills district,4484
34128,north garo hills district,2021,1,north garo hills district,6392
34129,south west khasi hills district,2021,1,south west khasi hills district,1479
34130,west garo hills district,2021,1,west garo hills district,40993
34131,south garo hills district,2021,1,south garo hills district,5439
34132,east jaintia hills district,2021,1,east jaintia hills district,13460
34133,south west garo hills district,2021,1,south west garo hills district,6276
34134,east khasi hills district,2021,1,east khasi hills district,78429
34135,east garo hills district,2021,1,east garo hills district,6237
34136,ribhoi district,2021,1,ribhoi district,18641
34137,west jaintia hills district,2021,1,west jaintia hills district,8665
34138,west khasi hills district,2021,1,west khasi hills district,4858
34139,north garo hills district,2021,1,north garo hills district,6392
34140,south west khasi hills district,2021,1,south west khasi hills district,1479
34141,west garo hills district,2021,1,west garo hills district,40993
34142,south garo hills district,2021,1,south garo hills district,5439
34143,east jaintia hills district,2021,1,east jaintia hills district,13460
34144,south west garo hills district,2021,1,south west garo hills district,6276
34145,east khasi hills district,2021,1,east khasi hills district,78429
34146,east garo hills district,2021,1,east garo hills district,6237
34147,ribhoi district,2021,1,ribhoi district,18641
34148,west jaintia hills district,2021,1,west jaintia hills district,8665
34149,west khasi hills district,2021,1,west khasi hills district,4858
34150,north garo hills district,2021,1,north garo hills district,6392
34151,south west khasi hills district,2021,1,south west khasi hills district,1479
34152,west garo hills district,2021,1,west garo hills district,40993
34153,south garo hills district,2021,1,south garo hills district,5439
34154,east jaintia hills district,2021,1,east jaintia hills district,13460
34155,south west garo hills district,2021,1,south west garo hills district,6276
34156,east khasi hills district,2021,1,east khasi hills district,78429
34157,east garo hills district,2021,1,east garo hills district,6237
34158,ribhoi district,2021,1,ribhoi district,18641
34159,west jaintia hills district,2021,1,west jaintia hills district,8665
34160,west khasi hills district,2021,1,west khasi hills district,4858
34161,north garo hills district,2021,1,north garo hills district,6392
34162,south west khasi hills district,2021,1,south west khasi hills district,1479
34163,west garo hills district,2021,1,west garo hills district,40993
34164,south garo hills district,2021,1,south garo hills district,5439
34165,east jaintia hills district,2021,1,east jaintia hills district,13460
34166,south west garo hills district,2021,1,south west garo hills district,6276
34167,east khasi hills district,2021,1,east khasi hills district,78429
34168,east garo hills district,2021,1,east garo hills district,6237
34169,ribhoi district,2021,1,ribhoi district,18641
34170,west jaintia hills district,2021,1,west jaintia hills district,8665
34171,west khasi hills district,2021,1,west khasi hills district,4858
34172,north garo hills district,2021,2,north garo hills district,6951
34173,south west khasi hills district,2021,2,south west khasi hills district,1616
34174,west garo hills district,2021,2,west garo hills district,44151
34175,south garo hills district,2021,2,south garo hills district,5922
34176,east jaintia hills district,2021,2,east jaintia hills district,14530
34177,south west garo hills district,2021,2,south west garo hills district,6835
34178,east khasi hills district,2021,2,east khasi hills district,84124
34179,east garo hills district,2021,2,east garo hills district,6754
34180,ribhoi district,2021,2,ribhoi district,20098
34181,west jaintia hills district,2021,2,west jaintia hills district,9409
34182,west khasi hills district,2021,2,west khasi hills district,5296
34183,north garo hills district,2021,2,north garo hills district,6951
34184,south west khasi hills district,2021,2,south west khasi hills district,1616
34185,west garo hills district,2021,2,west garo hills district,44151
34186,south garo hills district,2021,2,south garo hills district,5922
34187,east jaintia hills district,2021,2,east jaintia hills district,14530
34188,south west garo hills district,2021,2,south west garo hills district,6835
34189,east khasi hills district,2021,2,east khasi hills district,84124
34190,east garo hills district,2021,2,east garo hills district,6754
34191,ribhoi district,2021,2,ribhoi district,20098
34192,west jaintia hills district,2021,2,west jaintia hills district,9409
34193,west khasi hills district,2021,2,west khasi hills district,5296
34194,north garo hills district,2021,2,north garo hills district,6951
34195,south west khasi hills district,2021,2,south west khasi hills district,1616
34196,west garo hills district,2021,2,west garo hills district,44151
34197,south garo hills district,2021,2,south garo hills district,5922
34198,east jaintia hills district,2021,2,east jaintia hills district,14530
34199,south west garo hills district,2021,2,south west garo hills district,6835
34200,east khasi hills district,2021,2,east khasi hills district,84124
34201,east garo hills district,2021,2,east garo hills district,6754
34202,ribhoi district,2021,2,ribhoi district,20098
34203,west jaintia hills district,2021,2,west jaintia hills district,9409
34204,west khasi hills district,2021,2,west khasi hills district,5296
34205,north garo hills district,2021,2,north garo hills district,6951
34206,south west khasi hills district,2021,2,south west khasi hills district,1616
34207,west garo hills district,2021,2,west garo hills district,44151
34208,south garo hills district,2021,2,south garo hills district,5922
34209,east jaintia hills district,2021,2,east jaintia hills district,14530
34210,south west garo hills district,2021,2,south west garo hills district,6835
34211,east khasi hills district,2021,2,east khasi hills district,84124
34212,east garo hills district,2021,2,east garo hills district,6754
34213,ribhoi district,2021,2,ribhoi district,20098
34214,west jaintia hills district,2021,2,west jaintia hills district,9409
34215,west khasi hills district,2021,2,west khasi hills district,5296
34216,north garo hills district,2021,3,north garo hills district,7584
34217,south west khasi hills district,2021,3,south west khasi hills district,1802
34218,west garo hills district,2021,3,west garo hills district,47869
34219,south garo hills district,2021,3,south garo hills district,6442
34220,east jaintia hills district,2021,3,east jaintia hills district,15847
34221,south west garo hills district,2021,3,south west garo hills district,7531
34222,east khasi hills district,2021,3,east khasi hills district,90505
34223,east garo hills district,2021,3,east garo hills district,7389
34224,ribhoi district,2021,3,ribhoi district,21875
34225,west jaintia hills district,2021,3,west jaintia hills district,10337
34226,west khasi hills district,2021,3,west khasi hills district,5884
34227,north garo hills district,2021,3,north garo hills district,7584
34228,south west khasi hills district,2021,3,south west khasi hills district,1802
34229,west garo hills district,2021,3,west garo hills district,47869
34230,south garo hills district,2021,3,south garo hills district,6442
34231,east jaintia hills district,2021,3,east jaintia hills district,15847
34232,south west garo hills district,2021,3,south west garo hills district,7531
34233,east khasi hills district,2021,3,east khasi hills district,90505
34234,east garo hills district,2021,3,east garo hills district,7389
34235,ribhoi district,2021,3,ribhoi district,21875
34236,west jaintia hills district,2021,3,west jaintia hills district,10337
34237,west khasi hills district,2021,3,west khasi hills district,5884
34238,north garo hills district,2021,3,north garo hills district,7584
34239,south west khasi hills district,2021,3,south west khasi hills district,1802
34240,west garo hills district,2021,3,west garo hills district,47869
34241,south garo hills district,2021,3,south garo hills district,6442
34242,east jaintia hills district,2021,3,east jaintia hills district,15847
34243,south west garo hills district,2021,3,south west garo hills district,7531
34244,east khasi hills district,2021,3,east khasi hills district,90505
34245,east garo hills district,2021,3,east garo hills district,7389
34246,ribhoi district,2021,3,ribhoi district,21875
34247,west jaintia hills district,2021,3,west jaintia hills district,10337
34248,west khasi hills district,2021,3,west khasi hills district,5884
34249,north garo hills district,2021,3,north garo hills district,7584
34250,south west khasi hills district,2021,3,south west khasi hills district,1802
34251,west garo hills district,2021,3,west garo hills district,47869
34252,south garo hills district,2021,3,south garo hills district,6442
34253,east jaintia hills district,2021,3,east jaintia hills district,15847
34254,south west garo hills district,2021,3,south west garo hills district,7531
34255,east khasi hills district,2021,3,east khasi hills district,90505
34256,east garo hills district,2021,3,east garo hills district,7389
34257,ribhoi district,2021,3,ribhoi district,21875
34258,west jaintia hills district,2021,3,west jaintia hills district,10337
34259,west khasi hills district,2021,3,west khasi hills district,5884
34260,north garo hills district,2021,4,north garo hills district,8212
34261,south west khasi hills district,2021,4,south west khasi hills district,1986
34262,west garo hills district,2021,4,west garo hills district,51617
34263,south garo hills district,2021,4,south garo hills district,7005
34264,east jaintia hills district,2021,4,east jaintia hills district,17115
34265,south west garo hills district,2021,4,south west garo hills district,8197
34266,east khasi hills district,2021,4,east khasi hills district,96942
34267,east garo hills district,2021,4,east garo hills district,8015
34268,ribhoi district,2021,4,ribhoi district,23562
34269,west jaintia hills district,2021,4,west jaintia hills district,11189
34270,west khasi hills district,2021,4,west khasi hills district,6428
34271,north garo hills district,2021,4,north garo hills district,8212
34272,south west khasi hills district,2021,4,south west khasi hills district,1986
34273,west garo hills district,2021,4,west garo hills district,51617
34274,south garo hills district,2021,4,south garo hills district,7005
34275,east jaintia hills district,2021,4,east jaintia hills district,17115
34276,south west garo hills district,2021,4,south west garo hills district,8197
34277,east khasi hills district,2021,4,east khasi hills district,96942
34278,east garo hills district,2021,4,east garo hills district,8015
