,State,Year,Quater,Disrict,Reg_users
0,north and middle andaman district,2018,1,north and middle andaman district,632
1,south andaman district,2018,1,south andaman district,5846
2,nicobars district,2018,1,nicobars district,262
3,north and middle andaman district,2018,1,north and middle andaman district,632
4,south andaman district,2018,1,south andaman district,5846
5,nicobars district,2018,1,nicobars district,262
6,north and middle andaman district,2018,1,north and middle andaman district,632
7,south andaman district,2018,1,south andaman district,5846
8,nicobars district,2018,1,nicobars district,262
9,north and middle andaman district,2018,1,north and middle andaman district,632
10,south andaman district,2018,1,south andaman district,5846
11,nicobars district,2018,1,nicobars district,262
12,north and middle andaman district,2018,2,north and middle andaman district,911
13,south andaman district,2018,2,south andaman district,8143
14,nicobars district,2018,2,nicobars district,351
15,north and middle andaman district,2018,2,north and middle andaman district,911
16,south andaman district,2018,2,south andaman district,8143
17,nicobars district,2018,2,nicobars district,351
18,north and middle andaman district,2018,2,north and middle andaman district,911
19,south andaman district,2018,2,south andaman district,8143
20,nicobars district,2018,2,nicobars district,351
21,north and middle andaman district,2018,2,north and middle andaman district,911
22,south andaman district,2018,2,south andaman district,8143
23,nicobars district,2018,2,nicobars district,351
24,north and middle andaman district,2018,3,north and middle andaman district,1208
25,south andaman district,2018,3,south andaman district,10474
26,nicobars district,2018,3,nicobars district,467
27,north and middle andaman district,2018,3,north and middle andaman district,1208
28,south andaman district,2018,3,south andaman district,10474
29,nicobars district,2018,3,nicobars district,467
30,north and middle andaman district,2018,3,north and middle andaman district,1208
31,south andaman district,2018,3,south andaman district,10474
32,nicobars district,2018,3,nicobars district,467
33,north and middle andaman district,2018,3,north and middle andaman district,1208
34,south andaman district,2018,3,south andaman district,10474
35,nicobars district,2018,3,nicobars district,467
36,north and middle andaman district,2018,4,north and middle andaman district,1553
37,south andaman district,2018,4,south andaman district,13133
38,nicobars district,2018,4,nicobars district,536
39,north and middle andaman district,2018,4,north and middle andaman district,1553
40,south andaman district,2018,4,south andaman district,13133
41,nicobars district,2018,4,nicobars district,536
42,north and middle andaman district,2018,4,north and middle andaman district,1553
43,south andaman district,2018,4,south andaman district,13133
44,nicobars district,2018,4,nicobars district,536
45,north and middle andaman district,2018,4,north and middle andaman district,1553
46,south andaman district,2018,4,south andaman district,13133
47,nicobars district,2018,4,nicobars district,536
48,north and middle andaman district,2019,1,north and middle andaman district,2013
49,south andaman district,2019,1,south andaman district,15961
50,nicobars district,2019,1,nicobars district,622
51,north and middle andaman district,2019,1,north and middle andaman district,2013
52,south andaman district,2019,1,south andaman district,15961
53,nicobars district,2019,1,nicobars district,622
54,north and middle andaman district,2019,1,north and middle andaman district,2013
55,south andaman district,2019,1,south andaman district,15961
56,nicobars district,2019,1,nicobars district,622
57,north and middle andaman district,2019,1,north and middle andaman district,2013
58,south andaman district,2019,1,south andaman district,15961
59,nicobars district,2019,1,nicobars district,622
60,north and middle andaman district,2019,2,north and middle andaman district,2417
61,south andaman district,2019,2,south andaman district,18621
62,nicobars district,2019,2,nicobars district,693
63,north and middle andaman district,2019,2,north and middle andaman district,2417
64,south andaman district,2019,2,south andaman district,18621
65,nicobars district,2019,2,nicobars district,693
66,north and middle andaman district,2019,2,north and middle andaman district,2417
67,south andaman district,2019,2,south andaman district,18621
68,nicobars district,2019,2,nicobars district,693
69,north and middle andaman district,2019,2,north and middle andaman district,2417
70,south andaman district,2019,2,south andaman district,18621
71,nicobars district,2019,2,nicobars district,693
72,north and middle andaman district,2019,3,north and middle andaman district,2662
73,south andaman district,2019,3,south andaman district,20518
74,nicobars district,2019,3,nicobars district,751
75,north and middle andaman district,2019,3,north and middle andaman district,2662
76,south andaman district,2019,3,south andaman district,20518
77,nicobars district,2019,3,nicobars district,751
78,north and middle andaman district,2019,3,north and middle andaman district,2662
79,south andaman district,2019,3,south andaman district,20518
80,nicobars district,2019,3,nicobars district,751
81,north and middle andaman district,2019,3,north and middle andaman district,2662
82,south andaman district,2019,3,south andaman district,20518
83,nicobars district,2019,3,nicobars district,751
84,north and middle andaman district,2019,4,north and middle andaman district,2955
85,south andaman district,2019,4,south andaman district,22202
86,nicobars district,2019,4,nicobars district,803
87,north and middle andaman district,2019,4,north and middle andaman district,2955
88,south andaman district,2019,4,south andaman district,22202
89,nicobars district,2019,4,nicobars district,803
90,north and middle andaman district,2019,4,north and middle andaman district,2955
91,south andaman district,2019,4,south andaman district,22202
92,nicobars district,2019,4,nicobars district,803
93,north and middle andaman district,2019,4,north and middle andaman district,2955
94,south andaman district,2019,4,south andaman district,22202
95,nicobars district,2019,4,nicobars district,803
96,north and middle andaman district,2020,1,north and middle andaman district,3315
97,south andaman district,2020,1,south andaman district,24174
98,nicobars district,2020,1,nicobars district,879
99,north and middle andaman district,2020,1,north and middle andaman district,3315
100,south andaman district,2020,1,south andaman district,24174
101,nicobars district,2020,1,nicobars district,879
102,north and middle andaman district,2020,1,north and middle andaman district,3315
103,south andaman district,2020,1,south andaman district,24174
104,nicobars district,2020,1,nicobars district,879
105,north and middle andaman district,2020,1,north and middle andaman district,3315
106,south andaman district,2020,1,south andaman district,24174
107,nicobars district,2020,1,nicobars district,879
108,north and middle andaman district,2020,2,north and middle andaman district,4100
109,south andaman district,2020,2,south andaman district,27626
110,nicobars district,2020,2,nicobars district,984
111,north and middle andaman district,2020,2,north and middle andaman district,4100
112,south andaman district,2020,2,south andaman district,27626
113,nicobars district,2020,2,nicobars district,984
114,north and middle andaman district,2020,2,north and middle andaman district,4100
115,south andaman district,2020,2,south andaman district,27626
116,nicobars district,2020,2,nicobars district,984
117,north and middle andaman district,2020,2,north and middle andaman district,4100
118,south andaman district,2020,2,south andaman district,27626
119,nicobars district,2020,2,nicobars district,984
120,north and middle andaman district,2020,3,north and middle andaman district,5355
121,south andaman district,2020,3,south andaman district,34833
122,nicobars district,2020,3,nicobars district,1147
123,north and middle andaman district,2020,3,north and middle andaman district,5355
124,south andaman district,2020,3,south andaman district,34833
125,nicobars district,2020,3,nicobars district,1147
126,north and middle andaman district,2020,3,north and middle andaman district,5355
127,south andaman district,2020,3,south andaman district,34833
128,nicobars district,2020,3,nicobars district,1147
129,north and middle andaman district,2020,3,north and middle andaman district,5355
130,south andaman district,2020,3,south andaman district,34833
131,nicobars district,2020,3,nicobars district,1147
132,north and middle andaman district,2020,4,north and middle andaman district,7076
133,south andaman district,2020,4,south andaman district,43908
134,nicobars district,2020,4,nicobars district,1412
135,north and middle andaman district,2020,4,north and middle andaman district,7076
136,south andaman district,2020,4,south andaman district,43908
137,nicobars district,2020,4,nicobars district,1412
138,north and middle andaman district,2020,4,north and middle andaman district,7076
139,south andaman district,2020,4,south andaman district,43908
140,nicobars district,2020,4,nicobars district,1412
141,north and middle andaman district,2020,4,north and middle andaman district,7076
142,south andaman district,2020,4,south andaman district,43908
143,nicobars district,2020,4,nicobars district,1412
144,north and middle andaman district,2021,1,north and middle andaman district,7833
145,south andaman district,2021,1,south andaman district,48352
146,nicobars district,2021,1,nicobars district,1573
147,north and middle andaman district,2021,1,north and middle andaman district,7833
148,south andaman district,2021,1,south andaman district,48352
149,nicobars district,2021,1,nicobars district,1573
150,north and middle andaman district,2021,1,north and middle andaman district,7833
151,south andaman district,2021,1,south andaman district,48352
152,nicobars district,2021,1,nicobars district,1573
153,north and middle andaman district,2021,1,north and middle andaman district,7833
154,south andaman district,2021,1,south andaman district,48352
155,nicobars district,2021,1,nicobars district,1573
156,north and middle andaman district,2021,2,north and middle andaman district,8493
157,south andaman district,2021,2,south andaman district,51903
158,nicobars district,2021,2,nicobars district,1699
159,north and middle andaman district,2021,2,north and middle andaman district,8493
160,south andaman district,2021,2,south andaman district,51903
161,nicobars district,2021,2,nicobars district,1699
162,north and middle andaman district,2021,2,north and middle andaman district,8493
163,south andaman district,2021,2,south andaman district,51903
164,nicobars district,2021,2,nicobars district,1699
165,north and middle andaman district,2021,2,north and middle andaman district,8493
166,south andaman district,2021,2,south andaman district,51903
167,nicobars district,2021,2,nicobars district,1699
168,north and middle andaman district,2021,3,north and middle andaman district,9263
169,south andaman district,2021,3,south andaman district,55873
170,nicobars district,2021,3,nicobars district,1846
171,north and middle andaman district,2021,3,north and middle andaman district,9263
172,south andaman district,2021,3,south andaman district,55873
173,nicobars district,2021,3,nicobars district,1846
174,north and middle andaman district,2021,3,north and middle andaman district,9263
175,south andaman district,2021,3,south andaman district,55873
176,nicobars district,2021,3,nicobars district,1846
177,north and middle andaman district,2021,3,north and middle andaman district,9263
178,south andaman district,2021,3,south andaman district,55873
179,nicobars district,2021,3,nicobars district,1846
180,north and middle andaman district,2021,4,north and middle andaman district,10002
181,south andaman district,2021,4,south andaman district,59807
182,nicobars district,2021,4,nicobars district,1971
183,north and middle andaman district,2021,4,north and middle andaman district,10002
184,south andaman district,2021,4,south andaman district,59807
185,nicobars district,2021,4,nicobars district,1971
186,north and middle andaman district,2021,4,north and middle andaman district,10002
187,south andaman district,2021,4,south andaman district,59807
188,nicobars district,2021,4,nicobars district,1971
189,north and middle andaman district,2021,4,north and middle andaman district,10002
190,south andaman district,2021,4,south andaman district,59807
191,nicobars district,2021,4,nicobars district,1971
192,north and middle andaman district,2022,1,north and middle andaman district,10720
193,south andaman district,2022,1,south andaman district,63487
194,nicobars district,2022,1,nicobars district,2081
195,north and middle andaman district,2022,1,north and middle andaman district,10720
196,south andaman district,2022,1,south andaman district,63487
197,nicobars district,2022,1,nicobars district,2081
198,north and middle andaman district,2022,1,north and middle andaman district,10720
199,south andaman district,2022,1,south andaman district,63487
200,nicobars district,2022,1,nicobars district,2081
201,north and middle andaman district,2022,1,north and middle andaman district,10720
202,south andaman district,2022,1,south andaman district,63487
203,nicobars district,2022,1,nicobars district,2081
204,north and middle andaman district,2022,2,north and middle andaman district,11379
205,south andaman district,2022,2,south andaman district,66959
206,nicobars district,2022,2,nicobars district,2192
207,north and middle andaman district,2022,2,north and middle andaman district,11379
208,south andaman district,2022,2,south andaman district,66959
209,nicobars district,2022,2,nicobars district,2192
210,north and middle andaman district,2022,2,north and middle andaman district,11379
211,south andaman district,2022,2,south andaman district,66959
212,nicobars district,2022,2,nicobars district,2192
213,north and middle andaman district,2022,2,north and middle andaman district,11379
214,south andaman district,2022,2,south andaman district,66959
215,nicobars district,2022,2,nicobars district,2192
216,north and middle andaman district,2022,3,north and middle andaman district,11897
217,south andaman district,2022,3,south andaman district,70445
218,nicobars district,2022,3,nicobars district,2300
219,north and middle andaman district,2022,3,north and middle andaman district,11897
220,south andaman district,2022,3,south andaman district,70445
221,nicobars district,2022,3,nicobars district,2300
222,north and middle andaman district,2022,3,north and middle andaman district,11897
223,south andaman district,2022,3,south andaman district,70445
224,nicobars district,2022,3,nicobars district,2300
225,north and middle andaman district,2022,3,north and middle andaman district,11897
226,south andaman district,2022,3,south andaman district,70445
227,nicobars district,2022,3,nicobars district,2300
228,north and middle andaman district,2022,4,north and middle andaman district,12361
229,south andaman district,2022,4,south andaman district,73692
230,nicobars district,2022,4,nicobars district,2389
231,north and middle andaman district,2022,4,north and middle andaman district,12361
232,south andaman district,2022,4,south andaman district,73692
233,nicobars district,2022,4,nicobars district,2389
234,north and middle andaman district,2022,4,north and middle andaman district,12361
235,south andaman district,2022,4,south andaman district,73692
236,nicobars district,2022,4,nicobars district,2389
237,north and middle andaman district,2022,4,north and middle andaman district,12361
238,south andaman district,2022,4,south andaman district,73692
239,nicobars district,2022,4,nicobars district,2389
240,east godavari district,2018,1,east godavari district,350356
241,srikakulam district,2018,1,srikakulam district,143839
242,visakhapatnam district,2018,1,visakhapatnam district,497187
243,prakasam district,2018,1,prakasam district,189949
244,anantapur district,2018,1,anantapur district,241192
245,kurnool district,2018,1,kurnool district,240133
246,guntur district,2018,1,guntur district,317065
247,krishna district,2018,1,krishna district,323673
248,spsr nellore district,2018,1,spsr nellore district,194475
249,vizianagaram district,2018,1,vizianagaram district,128905
250,ysr district,2018,1,ysr district,186800
251,west godavari district,2018,1,west godavari district,213335
252,chittoor district,2018,1,chittoor district,309541
253,east godavari district,2018,1,east godavari district,350356
254,srikakulam district,2018,1,srikakulam district,143839
255,visakhapatnam district,2018,1,visakhapatnam district,497187
256,prakasam district,2018,1,prakasam district,189949
257,anantapur district,2018,1,anantapur district,241192
258,kurnool district,2018,1,kurnool district,240133
259,guntur district,2018,1,guntur district,317065
260,krishna district,2018,1,krishna district,323673
261,spsr nellore district,2018,1,spsr nellore district,194475
262,vizianagaram district,2018,1,vizianagaram district,128905
263,ysr district,2018,1,ysr district,186800
264,west godavari district,2018,1,west godavari district,213335
265,chittoor district,2018,1,chittoor district,309541
266,east godavari district,2018,1,east godavari district,350356
267,srikakulam district,2018,1,srikakulam district,143839
268,visakhapatnam district,2018,1,visakhapatnam district,497187
269,prakasam district,2018,1,prakasam district,189949
270,anantapur district,2018,1,anantapur district,241192
271,kurnool district,2018,1,kurnool district,240133
272,guntur district,2018,1,guntur district,317065
273,krishna district,2018,1,krishna district,323673
274,spsr nellore district,2018,1,spsr nellore district,194475
275,vizianagaram district,2018,1,vizianagaram district,128905
276,ysr district,2018,1,ysr district,186800
277,west godavari district,2018,1,west godavari district,213335
278,chittoor district,2018,1,chittoor district,309541
279,east godavari district,2018,1,east godavari district,350356
280,srikakulam district,2018,1,srikakulam district,143839
281,visakhapatnam district,2018,1,visakhapatnam district,497187
282,prakasam district,2018,1,prakasam district,189949
283,anantapur district,2018,1,anantapur district,241192
284,kurnool district,2018,1,kurnool district,240133
285,guntur district,2018,1,guntur district,317065
286,krishna district,2018,1,krishna district,323673
287,spsr nellore district,2018,1,spsr nellore district,194475
288,vizianagaram district,2018,1,vizianagaram district,128905
289,ysr district,2018,1,ysr district,186800
290,west godavari district,2018,1,west godavari district,213335
291,chittoor district,2018,1,chittoor district,309541
292,east godavari district,2018,2,east godavari district,454398
293,srikakulam district,2018,2,srikakulam district,186913
294,visakhapatnam district,2018,2,visakhapatnam district,636052
295,prakasam district,2018,2,prakasam district,253458
296,anantapur district,2018,2,anantapur district,326383
297,kurnool district,2018,2,kurnool district,319313
298,guntur district,2018,2,guntur district,420326
299,krishna district,2018,2,krishna district,431965
300,spsr nellore district,2018,2,spsr nellore district,261049
301,vizianagaram district,2018,2,vizianagaram district,167327
302,ysr district,2018,2,ysr district,248657
303,west godavari district,2018,2,west godavari district,282393
304,chittoor district,2018,2,chittoor district,414306
305,east godavari district,2018,2,east godavari district,454398
306,srikakulam district,2018,2,srikakulam district,186913
307,visakhapatnam district,2018,2,visakhapatnam district,636052
308,prakasam district,2018,2,prakasam district,253458
309,anantapur district,2018,2,anantapur district,326383
310,kurnool district,2018,2,kurnool district,319313
311,guntur district,2018,2,guntur district,420326
312,krishna district,2018,2,krishna district,431965
313,spsr nellore district,2018,2,spsr nellore district,261049
314,vizianagaram district,2018,2,vizianagaram district,167327
315,ysr district,2018,2,ysr district,248657
316,west godavari district,2018,2,west godavari district,282393
317,chittoor district,2018,2,chittoor district,414306
318,east godavari district,2018,2,east godavari district,454398
319,srikakulam district,2018,2,srikakulam district,186913
320,visakhapatnam district,2018,2,visakhapatnam district,636052
321,prakasam district,2018,2,prakasam district,253458
322,anantapur district,2018,2,anantapur district,326383
323,kurnool district,2018,2,kurnool district,319313
324,guntur district,2018,2,guntur district,420326
325,krishna district,2018,2,krishna district,431965
326,spsr nellore district,2018,2,spsr nellore district,261049
327,vizianagaram district,2018,2,vizianagaram district,167327
328,ysr district,2018,2,ysr district,248657
329,west godavari district,2018,2,west godavari district,282393
330,chittoor district,2018,2,chittoor district,414306
331,east godavari district,2018,2,east godavari district,454398
332,srikakulam district,2018,2,srikakulam district,186913
333,visakhapatnam district,2018,2,visakhapatnam district,636052
334,prakasam district,2018,2,prakasam district,253458
335,anantapur district,2018,2,anantapur district,326383
336,kurnool district,2018,2,kurnool district,319313
337,guntur district,2018,2,guntur district,420326
338,krishna district,2018,2,krishna district,431965
339,spsr nellore district,2018,2,spsr nellore district,261049
340,vizianagaram district,2018,2,vizianagaram district,167327
341,ysr district,2018,2,ysr district,248657
342,west godavari district,2018,2,west godavari district,282393
343,chittoor district,2018,2,chittoor district,414306
344,east godavari district,2018,3,east godavari district,558982
345,srikakulam district,2018,3,srikakulam district,228456
346,visakhapatnam district,2018,3,visakhapatnam district,769096
347,prakasam district,2018,3,prakasam district,314899
348,anantapur district,2018,3,anantapur district,405855
349,kurnool district,2018,3,kurnool district,394311
350,guntur district,2018,3,guntur district,518931
351,krishna district,2018,3,krishna district,537086
352,spsr nellore district,2018,3,spsr nellore district,322446
353,vizianagaram district,2018,3,vizianagaram district,203655
354,ysr district,2018,3,ysr district,308391
355,west godavari district,2018,3,west godavari district,349782
356,chittoor district,2018,3,chittoor district,515727
357,east godavari district,2018,3,east godavari district,558982
358,srikakulam district,2018,3,srikakulam district,228456
359,visakhapatnam district,2018,3,visakhapatnam district,769096
360,prakasam district,2018,3,prakasam district,314899
361,anantapur district,2018,3,anantapur district,405855
362,kurnool district,2018,3,kurnool district,394311
363,guntur district,2018,3,guntur district,518931
364,krishna district,2018,3,krishna district,537086
365,spsr nellore district,2018,3,spsr nellore district,322446
366,vizianagaram district,2018,3,vizianagaram district,203655
367,ysr district,2018,3,ysr district,308391
368,west godavari district,2018,3,west godavari district,349782
369,chittoor district,2018,3,chittoor district,515727
370,east godavari district,2018,3,east godavari district,558982
371,srikakulam district,2018,3,srikakulam district,228456
372,visakhapatnam district,2018,3,visakhapatnam district,769096
373,prakasam district,2018,3,prakasam district,314899
374,anantapur district,2018,3,anantapur district,405855
375,kurnool district,2018,3,kurnool district,394311
376,guntur district,2018,3,guntur district,518931
377,krishna district,2018,3,krishna district,537086
378,spsr nellore district,2018,3,spsr nellore district,322446
379,vizianagaram district,2018,3,vizianagaram district,203655
380,ysr district,2018,3,ysr district,308391
381,west godavari district,2018,3,west godavari district,349782
382,chittoor district,2018,3,chittoor district,515727
383,east godavari district,2018,3,east godavari district,558982
384,srikakulam district,2018,3,srikakulam district,228456
385,visakhapatnam district,2018,3,visakhapatnam district,769096
386,prakasam district,2018,3,prakasam district,314899
387,anantapur district,2018,3,anantapur district,405855
388,kurnool district,2018,3,kurnool district,394311
389,guntur district,2018,3,guntur district,518931
390,krishna district,2018,3,krishna district,537086
391,spsr nellore district,2018,3,spsr nellore district,322446
392,vizianagaram district,2018,3,vizianagaram district,203655
393,ysr district,2018,3,ysr district,308391
394,west godavari district,2018,3,west godavari district,349782
395,chittoor district,2018,3,chittoor district,515727
396,east godavari district,2018,4,east godavari district,694455
397,srikakulam district,2018,4,srikakulam district,284874
398,visakhapatnam district,2018,4,visakhapatnam district,978288
399,prakasam district,2018,4,prakasam district,394962
400,anantapur district,2018,4,anantapur district,510892
401,kurnool district,2018,4,kurnool district,498582
402,guntur district,2018,4,guntur district,659552
403,krishna district,2018,4,krishna district,682479
404,spsr nellore district,2018,4,spsr nellore district,407495
405,vizianagaram district,2018,4,vizianagaram district,257824
406,ysr district,2018,4,ysr district,387058
407,west godavari district,2018,4,west godavari district,435668
408,chittoor district,2018,4,chittoor district,665280
409,east godavari district,2018,4,east godavari district,694455
410,srikakulam district,2018,4,srikakulam district,284874
411,visakhapatnam district,2018,4,visakhapatnam district,978288
412,prakasam district,2018,4,prakasam district,394962
413,anantapur district,2018,4,anantapur district,510892
414,kurnool district,2018,4,kurnool district,498582
415,guntur district,2018,4,guntur district,659552
416,krishna district,2018,4,krishna district,682479
417,spsr nellore district,2018,4,spsr nellore district,407495
418,vizianagaram district,2018,4,vizianagaram district,257824
419,ysr district,2018,4,ysr district,387058
420,west godavari district,2018,4,west godavari district,435668
421,chittoor district,2018,4,chittoor district,665280
422,east godavari district,2018,4,east godavari district,694455
423,srikakulam district,2018,4,srikakulam district,284874
424,visakhapatnam district,2018,4,visakhapatnam district,978288
425,prakasam district,2018,4,prakasam district,394962
426,anantapur district,2018,4,anantapur district,510892
427,kurnool district,2018,4,kurnool district,498582
428,guntur district,2018,4,guntur district,659552
429,krishna district,2018,4,krishna district,682479
430,spsr nellore district,2018,4,spsr nellore district,407495
431,vizianagaram district,2018,4,vizianagaram district,257824
432,ysr district,2018,4,ysr district,387058
433,west godavari district,2018,4,west godavari district,435668
434,chittoor district,2018,4,chittoor district,665280
435,east godavari district,2018,4,east godavari district,694455
436,srikakulam district,2018,4,srikakulam district,284874
437,visakhapatnam district,2018,4,visakhapatnam district,978288
438,prakasam district,2018,4,prakasam district,394962
439,anantapur district,2018,4,anantapur district,510892
440,kurnool district,2018,4,kurnool district,498582
441,guntur district,2018,4,guntur district,659552
442,krishna district,2018,4,krishna district,682479
443,spsr nellore district,2018,4,spsr nellore district,407495
444,vizianagaram district,2018,4,vizianagaram district,257824
445,ysr district,2018,4,ysr district,387058
446,west godavari district,2018,4,west godavari district,435668
447,chittoor district,2018,4,chittoor district,665280
448,east godavari district,2019,1,east godavari district,839277
449,srikakulam district,2019,1,srikakulam district,345775
450,visakhapatnam district,2019,1,visakhapatnam district,1174517
451,prakasam district,2019,1,prakasam district,474260
452,anantapur district,2019,1,anantapur district,612162
453,kurnool district,2019,1,kurnool district,599422
454,guntur district,2019,1,guntur district,802394
455,krishna district,2019,1,krishna district,833694
456,spsr nellore district,2019,1,spsr nellore district,491908
457,vizianagaram district,2019,1,vizianagaram district,313334
458,ysr district,2019,1,ysr district,460590
459,west godavari district,2019,1,west godavari district,523372
460,chittoor district,2019,1,chittoor district,812314
461,east godavari district,2019,1,east godavari district,839277
462,srikakulam district,2019,1,srikakulam district,345775
463,visakhapatnam district,2019,1,visakhapatnam district,1174517
464,prakasam district,2019,1,prakasam district,474260
465,anantapur district,2019,1,anantapur district,612162
466,kurnool district,2019,1,kurnool district,599422
467,guntur district,2019,1,guntur district,802394
468,krishna district,2019,1,krishna district,833694
469,spsr nellore district,2019,1,spsr nellore district,491908
470,vizianagaram district,2019,1,vizianagaram district,313334
471,ysr district,2019,1,ysr district,460590
472,west godavari district,2019,1,west godavari district,523372
473,chittoor district,2019,1,chittoor district,812314
474,east godavari district,2019,1,east godavari district,839277
475,srikakulam district,2019,1,srikakulam district,345775
476,visakhapatnam district,2019,1,visakhapatnam district,1174517
477,prakasam district,2019,1,prakasam district,474260
478,anantapur district,2019,1,anantapur district,612162
479,kurnool district,2019,1,kurnool district,599422
480,guntur district,2019,1,guntur district,802394
481,krishna district,2019,1,krishna district,833694
482,spsr nellore district,2019,1,spsr nellore district,491908
483,vizianagaram district,2019,1,vizianagaram district,313334
484,ysr district,2019,1,ysr district,460590
485,west godavari district,2019,1,west godavari district,523372
486,chittoor district,2019,1,chittoor district,812314
487,east godavari district,2019,1,east godavari district,839277
488,srikakulam district,2019,1,srikakulam district,345775
489,visakhapatnam district,2019,1,visakhapatnam district,1174517
490,prakasam district,2019,1,prakasam district,474260
491,anantapur district,2019,1,anantapur district,612162
492,kurnool district,2019,1,kurnool district,599422
493,guntur district,2019,1,guntur district,802394
494,krishna district,2019,1,krishna district,833694
495,spsr nellore district,2019,1,spsr nellore district,491908
496,vizianagaram district,2019,1,vizianagaram district,313334
497,ysr district,2019,1,ysr district,460590
498,west godavari district,2019,1,west godavari district,523372
499,chittoor district,2019,1,chittoor district,812314
500,east godavari district,2019,2,east godavari district,945181
501,srikakulam district,2019,2,srikakulam district,392764
502,visakhapatnam district,2019,2,visakhapatnam district,1318740
503,prakasam district,2019,2,prakasam district,539462
504,anantapur district,2019,2,anantapur district,695114
505,kurnool district,2019,2,kurnool district,680118
506,guntur district,2019,2,guntur district,915256
507,krishna district,2019,2,krishna district,952300
508,spsr nellore district,2019,2,spsr nellore district,558303
509,vizianagaram district,2019,2,vizianagaram district,355058
510,ysr district,2019,2,ysr district,519031
511,west godavari district,2019,2,west godavari district,592185
512,chittoor district,2019,2,chittoor district,925491
513,east godavari district,2019,2,east godavari district,945181
514,srikakulam district,2019,2,srikakulam district,392764
515,visakhapatnam district,2019,2,visakhapatnam district,1318740
516,prakasam district,2019,2,prakasam district,539462
517,anantapur district,2019,2,anantapur district,695114
518,kurnool district,2019,2,kurnool district,680118
519,guntur district,2019,2,guntur district,915256
520,krishna district,2019,2,krishna district,952300
521,spsr nellore district,2019,2,spsr nellore district,558303
522,vizianagaram district,2019,2,vizianagaram district,355058
523,ysr district,2019,2,ysr district,519031
524,west godavari district,2019,2,west godavari district,592185
525,chittoor district,2019,2,chittoor district,925491
526,east godavari district,2019,2,east godavari district,945181
527,srikakulam district,2019,2,srikakulam district,392764
528,visakhapatnam district,2019,2,visakhapatnam district,1318740
529,prakasam district,2019,2,prakasam district,539462
530,anantapur district,2019,2,anantapur district,695114
531,kurnool district,2019,2,kurnool district,680118
532,guntur district,2019,2,guntur district,915256
533,krishna district,2019,2,krishna district,952300
534,spsr nellore district,2019,2,spsr nellore district,558303
535,vizianagaram district,2019,2,vizianagaram district,355058
536,ysr district,2019,2,ysr district,519031
537,west godavari district,2019,2,west godavari district,592185
538,chittoor district,2019,2,chittoor district,925491
539,east godavari district,2019,2,east godavari district,945181
540,srikakulam district,2019,2,srikakulam district,392764
541,visakhapatnam district,2019,2,visakhapatnam district,1318740
542,prakasam district,2019,2,prakasam district,539462
543,anantapur district,2019,2,anantapur district,695114
544,kurnool district,2019,2,kurnool district,680118
545,guntur district,2019,2,guntur district,915256
546,krishna district,2019,2,krishna district,952300
547,spsr nellore district,2019,2,spsr nellore district,558303
548,vizianagaram district,2019,2,vizianagaram district,355058
549,ysr district,2019,2,ysr district,519031
550,west godavari district,2019,2,west godavari district,592185
551,chittoor district,2019,2,chittoor district,925491
552,east godavari district,2019,3,east godavari district,1057167
553,srikakulam district,2019,3,srikakulam district,437939
554,visakhapatnam district,2019,3,visakhapatnam district,1460464
555,prakasam district,2019,3,prakasam district,598568
556,anantapur district,2019,3,anantapur district,773656
557,kurnool district,2019,3,kurnool district,755024
558,guntur district,2019,3,guntur district,1026418
559,krishna district,2019,3,krishna district,1066546
560,spsr nellore district,2019,3,spsr nellore district,619592
561,vizianagaram district,2019,3,vizianagaram district,394375
562,ysr district,2019,3,ysr district,574109
563,west godavari district,2019,3,west godavari district,662102
564,chittoor district,2019,3,chittoor district,1032733
565,east godavari district,2019,3,east godavari district,1057167
566,srikakulam district,2019,3,srikakulam district,437939
567,visakhapatnam district,2019,3,visakhapatnam district,1460464
568,prakasam district,2019,3,prakasam district,598568
569,anantapur district,2019,3,anantapur district,773656
570,kurnool district,2019,3,kurnool district,755024
571,guntur district,2019,3,guntur district,1026418
572,krishna district,2019,3,krishna district,1066546
573,spsr nellore district,2019,3,spsr nellore district,619592
574,vizianagaram district,2019,3,vizianagaram district,394375
575,ysr district,2019,3,ysr district,574109
576,west godavari district,2019,3,west godavari district,662102
577,chittoor district,2019,3,chittoor district,1032733
578,east godavari district,2019,3,east godavari district,1057167
579,srikakulam district,2019,3,srikakulam district,437939
580,visakhapatnam district,2019,3,visakhapatnam district,1460464
581,prakasam district,2019,3,prakasam district,598568
582,anantapur district,2019,3,anantapur district,773656
583,kurnool district,2019,3,kurnool district,755024
584,guntur district,2019,3,guntur district,1026418
585,krishna district,2019,3,krishna district,1066546
586,spsr nellore district,2019,3,spsr nellore district,619592
587,vizianagaram district,2019,3,vizianagaram district,394375
588,ysr district,2019,3,ysr district,574109
589,west godavari district,2019,3,west godavari district,662102
590,chittoor district,2019,3,chittoor district,1032733
591,east godavari district,2019,3,east godavari district,1057167
592,srikakulam district,2019,3,srikakulam district,437939
593,visakhapatnam district,2019,3,visakhapatnam district,1460464
594,prakasam district,2019,3,prakasam district,598568
595,anantapur district,2019,3,anantapur district,773656
596,kurnool district,2019,3,kurnool district,755024
597,guntur district,2019,3,guntur district,1026418
598,krishna district,2019,3,krishna district,1066546
599,spsr nellore district,2019,3,spsr nellore district,619592
600,vizianagaram district,2019,3,vizianagaram district,394375
